"Item","absMix","diffTheta","bimodality"
"ate the seeds birds",0.834672295743182,0.387141351742592,0.323136160836108
"ate the seeds butterflies",0.496094611095451,0.65965527290903,0.327251426070869
"ate the seeds dogs",0.716796886002661,0.699025897698561,0.501059586705543
"beeped houses",0.799101592457842,0.545573848958822,0.435968931506349
"beeped new cars",0.874148551603579,0.608946345569719,0.532309565984063
"beeped old cars",0.681642559049395,0.438102912940752,0.298629590703928
"blew away backpacks",0.566478164302354,0.348629657088365,0.197491088168776
"blew away hats",0.685242129155564,0.295018641062134,0.202159201741998
"blew away napkins",0.504594055214162,0.277280113528741,0.139913896915711
"broke boxes",0.714646727419624,0.307338268888568,0.219638288072027
"broke logs",0.968669012908882,0.506233351643346,0.490372561037915
"broke sunglasses",0.371575382244208,0.209178827895459,0.0777257029326505
"burnt books",0.315679487193635,0.381853835881833,0.1205434230941
"burnt matches",0.13093185555198,0.512008498154359,0.0670382227217325
"burnt rocks",0.592606358453501,0.761384834973228,0.451201494435204
"decomposed banana peels",0.437375269113078,0.409614147046584,0.179155097797024
"decomposed pinecones",0.464230206598299,0.706294299348751,0.327883148505872
"decomposed soda cans",0.419127042874294,0.585275093355425,0.245304619146036
"dissolved carrots",0.179273417095652,0.510822424319251,0.0915768815367973
"dissolved oreos",0.428720283085579,0.867287070240748,0.371823558270076
"dissolved sugar cubes",0.293546392333957,0.341637131719709,0.100286347503642
"exploded balls of tin foil",0.611083949018315,0.717425460263464,0.43840718338408
"exploded candles",0.368174000599736,0.571077465190421,0.210255875011514
"exploded CDs",0.93032686743425,0.817293141698746,0.76034976829209
"exploded eggs",0.980251488491386,0.571257162482682,0.559975683835015
"exploded fireworks",0.0168296317076806,0.799948926544569,0.0134628458186995
"exploded gas tanks",0.574085708150054,0.490272221470883,0.281458275449412
"fell down block towers",0.782850699967538,0.493333173118435,0.386206219892973
"fell down card towers",0.216065156915332,0.722724953861039,0.156155680562612
"fell down shelves",0.884134275112948,0.390273264811972,0.345053970080497
"flashed cameras",0.665702161459892,0.38651588813882,0.257304462172603
"flashed phones",0.565235159794268,0.472134411380433,0.266866969460991
"flashed webcams",0.708304214197331,0.61117498486608,0.432897817392635
"froze berries",0.127258652885827,0.489690110499359,0.06231730379366
"froze bottles of hand soap",0.645040535495703,0.738883956536875,0.476610102993729
"froze chocolate bars",0.323610238510796,0.425073206155144,0.137558041628415
"got stained white carpets",0.192322827235115,0.440099062264525,0.0846410959182363
"got stained white shirts",0.421400336788678,0.39418955963165,0.166111613187358
"got stained white tablecloths",0.264162585366873,0.605519407132547,0.15995557207795
"had the letter Z in them birthday cards",0.373208054644877,0.350625642484624,0.130856313940297
"had the letter Z in them love notes",0.92580822466312,0.570470955189029,0.528146702245429
"had the letter Z in them novels",0.691585709263829,0.59843515379078,0.413869200282805
"honked bicyclists",0.781895684946792,0.554496325041878,0.433558283869098
"honked bus drivers",0.716407832451902,0.46645534007509,0.33417225911881
"honked taxi drivers",0.642736113838462,0.488929275671939,0.314252502587236
"landed flat coins",0.290188600342459,0.563784644193667,0.163603876793131
"landed flat notebooks",0.654170157180246,0.396934198980299,0.259662507337157
"landed flat pancakes",0.830744510439333,0.344872264297932,0.28650074036829
"laughed comedians",0.475510790359186,0.291923651505535,0.138812846251936
"laughed kids",0.85698465017453,0.242536158862176,0.207849765257176
"laughed lawyers",0.341410299176832,0.508432995581487,0.173584261132848
"lit up cd-players",0.627044220370196,0.435852911971461,0.273299049383224
"lit up computers",0.341720223981755,0.438052609561323,0.149691435855087
"lit up flashlights",0.965832411841349,0.248145264177122,0.239666738987199
"melted crayons",0.652747336619156,0.358727698268463,0.234158549616259
"melted ice cubes",0.239400118996935,0.379791774198453,0.090922195937167
"melted pencils",0.305531174708813,0.829794766102541,0.253528169654534
"popped balloons",0.309679085252999,0.330809819214139,0.102444882206944
"popped bubbles",0.201581930790215,0.330937867293572,0.0667110942606341
"popped eggs",0.524785951991694,0.767253874142247,0.402644054761055
"ran out of batteries bike lights",0.924774106999921,0.436105631572267,0.40329919599488
"ran out of batteries laptops",0.730982030713865,0.344663703578935,0.251942973955491
"ran out of batteries phones",0.990474253049016,0.509010398639173,0.504161694386317
"reflected the sunlight diamonds",0.163796723769213,0.773356684292164,0.126673291192078
"reflected the sunlight mirrors",0.691918400286663,0.298029200995526,0.206211887991537
"reflected the sunlight phone screens",0.461903465120926,0.426947953765232,0.197208739270449
