object_low	object_mid	object_high	cause	effect
pencil	crayon	ice cube	left in hot sun	melt
ball	cake	gum	thrown against wall	stick
log	book	match	thrown into a fire	burn
backpack	hat	paper	left on a table on a windy day	blew away
