Item,X0,X1,X2,X3,X4,X5,X6,X7,X8,X9,X10,X11,X12,X13,X14,X15
dissolved oreos,0.0718857,0.0247412,0.0467154,0.0471256,0.0271179,0.0828682,0.0659822,0.0813573,0.0198751,0.013917,0.0468381,0.058538,0.0817025,0.0289741,0.0571893,0.2451725
dissolved sugar cubes,1e-07,1e-07,2e-07,1e-06,7.6e-06,6.18e-05,0.0005096,0.004206,0.0347177,0.008412,0.0357381,0.0127522,0.0710696,0.0261716,0.148134,0.6582183
exploded balls of tin foil,0.0584178,0.0533108,0.0554426,0.0673527,0.0469585,0.0262355,0.036767,0.0348283,0.0181098,0.0229657,0.0551808,0.0405912,0.0743583,0.0841673,0.1379745,0.1873391
exploded candles,0.4262066,0.2160801,0.1190909,0.0538436,0.033783,0.0420736,0.0174715,0.0075317,0.0039126,0.003577,0.0062432,0.0141486,0.0339278,0.0139781,0.0057589,0.0023727
exploded CDs,0.0982333,0.0487255,0.019644,0.0693103,0.0470207,0.0383231,0.0083512,0.0118566,0.062892,0.0162421,0.0347023,0.0173734,0.06969,0.0515726,0.0652948,0.3407681
exploded eggs,0.0243127,0.0426344,0.0480989,0.0424759,0.0506087,0.0751311,0.070656,0.0623985,0.0476844,0.0484128,0.0648198,0.0755542,0.0840925,0.0931998,0.0791613,0.090759
exploded fireworks,1e-07,1e-07,1e-07,1e-07,1e-07,1e-07,1e-07,1e-07,1e-07,2e-07,0.0909089,3e-07,0.090909,0.1363638,0.3636357,0.3181812
exploded gas tanks,0.0067954,0.0126394,0.0235094,0.0437276,0.035077,0.0403744,0.0617263,0.0613663,0.0391513,0.0325045,0.0387829,0.0604829,0.1062335,0.1479703,0.1560325,0.1336262
fell down block towers,0.0025787,0.0072741,0.0205194,0.0578834,0.0241414,0.0187752,0.0354775,0.0243091,0.0417138,0.0385778,0.0807865,0.0788097,0.0998951,0.0992555,0.1457105,0.2242923
fell down card towers,1.6e-06,1.16e-05,8.74e-05,0.000665,0.0050627,0.0385473,0.0063637,0.0107419,0.0768358,0.0101074,0.0014493,0.0011171,0.0072025,0.0546686,0.1290901,0.658048
fell down shelves,0.0499236,0.0697113,0.1192964,0.118989,0.0938788,0.0836751,0.0840164,0.0698274,0.0602642,0.0512392,0.064116,0.0539562,0.0416382,0.021897,0.0115153,0.0060558
flashed cameras,0.0250015,0.0095778,0.007322,0.0151329,0.0437493,0.0659225,0.0455449,0.0877856,0.0509418,0.0841362,0.166414,0.0779331,0.0965999,0.0483009,0.0664092,0.1092286
flashed phones,0.0057521,0.0146458,0.0372912,0.0477984,0.0560331,0.1168803,0.0988609,0.0793616,0.0872261,0.0826859,0.1086309,0.0479638,0.0323324,0.0470595,0.0588203,0.0786576
flashed webcams,0.0483002,0.0639826,0.0794763,0.100239,0.1335848,0.1458055,0.0957512,0.056699,0.0376198,0.0317925,0.0371645,0.0329008,0.0402267,0.0389956,0.0287737,0.0286878
froze berries,1e-07,1e-07,1e-07,4e-07,3e-06,3.38e-05,0.0003955,0.0046377,0.0544009,0.0544014,0.0046437,0.0004662,0.0008639,0.0097406,0.1142272,0.7561854
froze bottles of hand soap,0.0734595,0.0249453,0.0088921,0.0044098,0.0056658,0.0142944,0.0415241,0.0263982,0.0456239,0.0278289,0.0462471,0.0284558,0.0476936,0.1289943,0.1853729,0.2901943
froze chocolate bars,1e-07,1e-07,1e-07,1e-07,1e-07,1e-07,1e-07,1e-07,1e-07,1e-07,1e-07,5e-07,2.17e-05,0.0011017,0.056157,0.942718
got stained white carpets,0.0184261,0.0397965,0.0184446,0.00858,0.0040589,0.0020656,0.0013587,0.0014979,0.0025699,0.0052423,0.0111796,0.0240796,0.0519763,0.112244,0.2424177,0.4560623
got stained white shirts,0.0185113,0.0626197,0.1098226,0.0353326,0.0201447,0.0387675,0.0204512,0.03646,0.0116569,0.0064185,0.0119529,0.0375488,0.0241601,0.0513217,0.1646216,0.35021
got stained white tablecloths,2e-06,1.39e-05,0.0001006,0.0007302,0.005307,0.0385729,0.0678744,0.0391266,0.0094075,0.030545,0.0043194,0.0014438,0.006373,0.0457543,0.1199942,0.6304351
had the letter Z in them birthday cards,0.0734501,0.1331478,0.1500871,0.171304,0.1425966,0.1127462,0.0601515,0.0510855,0.0442099,0.0345489,0.0151116,0.0066098,0.0028912,0.0012646,0.0005532,0.000242
had the letter Z in them love notes,0.0732498,0.0867515,0.1107646,0.1295085,0.1508382,0.1320041,0.0909574,0.0621848,0.0336284,0.0191649,0.012733,0.0116371,0.0154182,0.0256606,0.0208125,0.0246866
had the letter Z in them novels,0.0183257,0.0441337,0.0331425,0.0494451,0.0333228,0.0446428,0.0195828,0.0106498,0.0104873,0.0189612,0.0430501,0.0294476,0.0400959,0.0837645,0.1964157,0.3245325
honked bicyclists,0.0118215,0.0190186,0.0305974,0.0492257,0.0542062,0.0716754,0.0806691,0.0832593,0.0800429,0.0952679,0.1324419,0.1001735,0.0659953,0.0470221,0.0388823,0.0397008
honked bus drivers,0.0005114,0.0015868,0.0049239,0.0152796,0.0474153,0.0736722,0.0580122,0.0515788,0.0452015,0.1032558,0.1615626,0.0828367,0.1221888,0.1153153,0.0524185,0.0642406
honked taxi drivers,0.0003122,0.0009569,0.002933,0.0089905,0.0275589,0.0211111,0.0440413,0.0648919,0.1126785,0.0637996,0.1037038,0.0978203,0.1646958,0.0805589,0.1085272,0.09742
landed flat coins,1e-07,2e-07,1.1e-06,8e-06,6.07e-05,0.0004662,0.0035835,0.027552,0.0040508,0.0041201,0.0281632,0.0082932,0.0366793,0.0707063,0.1005822,0.7157331
landed flat notebooks,0.0002466,0.0008946,0.0032465,0.0117818,0.0427586,0.0645344,0.0279411,0.0445689,0.055444,0.081281,0.0806475,0.0523365,0.0330683,0.0767871,0.1761213,0.2483419
landed flat pancakes,0.0001746,0.0005177,0.0015352,0.0045533,0.0135049,0.0400553,0.0449139,0.0344121,0.0687545,0.0449145,0.0796047,0.0702521,0.1524485,0.1377488,0.1547769,0.1518331
laughed comedians,0.0003888,0.0013559,0.0047298,0.0164993,0.0575568,0.1219598,0.0875591,0.1297613,0.0870082,0.1198802,0.129081,0.052119,0.0676737,0.0457087,0.0260575,0.0526611
laughed kids,0.0001416,0.0003745,0.0009904,0.0026198,0.00693,0.0183318,0.0484929,0.0627259,0.0755958,0.1002726,0.1620092,0.1273248,0.2229362,0.0878175,0.0425653,0.0408717
laughed lawyers,0.0059509,0.0114966,0.0222103,0.0429082,0.0828949,0.0988491,0.0979429,0.1104172,0.1418795,0.1145286,0.108014,0.0581106,0.0343299,0.0259816,0.0293129,0.015173
lit up cd-players,1e-07,1e-07,1e-07,1e-07,2e-07,1.2e-06,9.3e-06,8.1e-05,0.0007115,0.0062547,0.0549901,0.0185372,0.1100958,0.0320774,0.1755742,0.601667
lit up computers,1.59e-05,5.7e-05,0.0002047,0.000736,0.0026473,0.0095222,0.0342517,0.0204166,0.0448636,0.0506442,0.048597,0.0348834,0.0865783,0.0950356,0.1789021,0.3926443
lit up flashlights,1.1e-05,5.71e-05,0.0002971,0.001548,0.0080671,0.0420424,0.0421652,0.0088536,0.0056747,0.0218095,0.1121728,0.0534858,0.1768376,0.1942821,0.1651922,0.1675038
melted crayons,0.0411688,0.0074949,0.0083277,0.0475015,0.0473724,0.0073458,0.0011394,0.0001781,3.62e-05,6.03e-05,0.0003616,0.002327,0.0150053,0.0967689,0.1080579,0.6168543
melted ice cubes,1e-07,1e-07,1e-07,1e-07,1e-07,1e-07,1e-07,1e-07,1e-07,1e-07,1e-07,7e-07,2.76e-05,0.0012921,0.0606927,0.9379858
melted pencils,0.1643336,0.1208389,0.1614653,0.1275502,0.0577986,0.028283,0.0184565,0.0214782,0.0394517,0.0225743,0.0214118,0.035155,0.073371,0.0380341,0.0291742,0.0406236
popped balloons,0.0002645,0.0008764,0.0029042,0.0096243,0.0318952,0.0096848,0.0031229,0.0016068,0.0026868,0.008108,0.0266299,0.0881802,0.1001773,0.0820064,0.1963415,0.4358908
popped bubbles,1e-07,1e-07,1e-07,1e-07,1e-07,1e-07,1e-07,4e-07,3.3e-06,3.46e-05,0.0003745,0.0040599,0.0440291,0.0183471,0.1566357,0.7765146
popped eggs,0.028531,0.0285236,0.0342353,0.0308518,0.0336541,0.0432042,0.0454575,0.056825,0.0795861,0.0863858,0.0945466,0.0897455,0.1029386,0.088893,0.0767114,0.0799106
ran out of batteries bike lights,0.0002039,0.0008246,0.0033357,0.0134948,0.0545956,0.0926502,0.0866865,0.0230307,0.0121808,0.0292596,0.1134267,0.0729868,0.0716696,0.1064546,0.128873,0.1903271
ran out of batteries laptops,0.0002132,0.0007573,0.0026905,0.0095594,0.0339657,0.0346895,0.0130586,0.015385,0.0459366,0.0747675,0.1547709,0.0887381,0.0995082,0.1208443,0.1058941,0.1992211
ran out of batteries phones,0.0106315,0.0175689,0.0290332,0.0345161,0.0488927,0.062405,0.0785348,0.0879757,0.0931604,0.0954249,0.0953527,0.0794627,0.0840477,0.0699021,0.0603057,0.0527857
reflected the sunlight diamonds,0.00025,0.0008293,0.0027509,0.0091259,0.0302759,0.0091377,0.0027933,0.0009712,0.0007211,0.0016384,0.0052079,0.017209,0.0570716,0.0980287,0.2063908,0.5575983
reflected the sunlight mirrors,4.1e-06,2.42e-05,0.0001448,0.0008693,0.0052216,0.0313652,0.0111341,0.0373699,0.0422914,0.0464377,0.067113,0.0133299,0.0151775,0.0803666,0.12641,0.5227407
reflected the sunlight phone screens,1e-07,2e-07,7e-07,3.9e-06,2.5e-05,0.0001636,0.0010745,0.0070602,0.0463931,0.0612385,0.1217168,0.0262511,0.0547789,0.0984286,0.119755,0.4631098
rhymed limericks,6.9e-06,4.5e-05,0.000299,0.001988,0.0132232,0.0879584,0.0133928,0.0031412,0.0079741,0.0510993,0.0537657,0.0287783,0.1419893,0.0795193,0.113069,0.4037505
rhymed poems,3e-07,1.5e-06,1.17e-05,9.74e-05,0.0008165,0.0068526,0.0575142,0.1927034,0.1327236,0.0670126,0.1476854,0.0300402,0.1080258,0.0194403,0.0574558,0.1796187
rhymed songs,0.0007188,0.0020127,0.005636,0.0157826,0.0441969,0.0799766,0.0769542,0.0754218,0.0736058,0.0694042,0.1017447,0.076688,0.0966042,0.0969638,0.0781834,0.1061065
ripped books,0.0004939,0.0013358,0.0036133,0.0097739,0.0264385,0.0183083,0.029854,0.0734838,0.1428788,0.0997854,0.1107236,0.0810326,0.0852193,0.0745754,0.0908697,0.1516138
ripped shirts,1.9e-06,2.76e-05,0.0004176,0.0063506,0.0965858,0.0529301,0.0038863,0.0064305,0.0943378,0.0185125,0.1884357,0.0277107,0.2348401,0.0193067,0.0600657,0.1901605
ripped shoes,0.0025005,0.0059431,0.0141256,0.0335737,0.0797984,0.1404859,0.1164966,0.0870585,0.0778733,0.0816155,0.1012697,0.0541507,0.0502193,0.0371599,0.0537372,0.0639922
rolled shopping carts,0.000295,0.0010251,0.0035633,0.012387,0.0430613,0.013479,0.0076738,0.0154053,0.0503119,0.037752,0.0917875,0.0353026,0.0410922,0.1193693,0.135781,0.3917138
rolled toy cars,1e-07,1e-07,1e-07,1e-07,1e-07,6e-07,6.8e-06,8.36e-05,0.001037,0.0128818,0.1600267,0.0655393,0.0186166,0.1672282,0.1498474,0.4247314
rolled wheelchairs,0.000289,0.0013433,0.0062448,0.0290329,0.0063126,0.0016734,0.0018269,0.0072131,0.0332597,0.0259045,0.0927476,0.0392463,0.0981582,0.0522233,0.1558721,0.4486522
sank balloons,0.3303387,0.192248,0.1283124,0.0723991,0.029023,0.0156673,0.018517,0.04052,0.0420857,0.0248335,0.0332682,0.0137644,0.0084978,0.0120211,0.0279783,0.0105255
sank cups,0.0931326,0.0179858,0.0056055,0.0127871,0.064593,0.0246651,0.0708131,0.0469344,0.0282724,0.1082753,0.090412,0.0709184,0.1403405,0.0652229,0.0591451,0.1008968
sank marbles,0.0327962,0.0121102,0.004473,0.0016553,0.000621,0.0002557,0.0001657,0.0002541,0.0006163,0.0016423,0.0044379,0.0120151,0.0325385,0.0881222,0.2386579,0.5696386
stopped bicycles,0.000309,0.0009501,0.0029217,0.0089851,0.0276324,0.0149416,0.0231774,0.0638745,0.0539537,0.0495593,0.0445368,0.0318519,0.0637774,0.114988,0.1871684,0.3113728
stopped cars,0.0073159,0.0228107,0.0073387,0.0024249,0.0009995,0.0010121,0.0024806,0.0075178,0.0233707,0.0090626,0.0077927,0.0177343,0.0531902,0.1013871,0.2316668,0.5038956
stopped motorcycles,0.0003531,0.0006771,0.0012987,0.0024912,0.0047785,0.0091662,0.0175828,0.0337277,0.0646975,0.041976,0.0377047,0.0500064,0.084288,0.155618,0.2132203,0.2824138
stuck beads,1e-07,1e-07,1e-07,2e-07,1.7e-06,2.58e-05,0.0004033,0.0063353,0.0995442,0.0067904,0.007583,0.1128417,0.2153322,0.1696834,0.1256802,0.2557784
stuck sequins,0.000164,0.0006109,0.0022771,0.0084882,0.0316421,0.0126851,0.019048,0.0634313,0.0238864,0.0320196,0.1040655,0.0680211,0.1677499,0.1812358,0.1353972,0.1492779
stuck stickers,5e-07,1.5e-06,4.5e-06,1.42e-05,4.56e-05,0.0001474,0.0004773,0.0015458,0.0050067,0.0162167,0.0525265,0.041983,0.0964199,0.1719409,0.2572834,0.3563862
stuck to the wall baseballs,0.6234761,0.2090756,0.1013102,0.0160822,0.0076818,0.0359784,0.0054297,0.0008195,0.0001238,1.88e-05,2.9e-06,5e-07,2e-07,1e-07,1e-07,1e-07
stuck to the wall cakes,0.0246579,0.038074,0.0587896,0.0744636,0.0717883,0.0828763,0.0935405,0.089513,0.1026468,0.0865219,0.0706722,0.0520591,0.0434268,0.0431203,0.0347681,0.0330815
stuck to the wall pieces of gum,0.0306877,0.0522619,0.0560146,0.0760236,0.0851071,0.0859013,0.095131,0.0989805,0.0820727,0.0724892,0.0839433,0.0537815,0.0392281,0.0360591,0.0268607,0.0254577
were green bananas,0.0324813,0.0404366,0.0637739,0.1113705,0.1053988,0.1203338,0.1042967,0.1279338,0.1043032,0.0627891,0.0451599,0.0255226,0.015594,0.0115973,0.0120122,0.0169964
were green clovers,0.0017238,0.0047945,0.0133354,0.0370913,0.0148235,0.0094686,0.0149168,0.0373842,0.0141622,0.0070985,0.0081337,0.018449,0.0498135,0.138013,0.2069928,0.423799
were green strawberries,0.0758254,0.0698883,0.0721934,0.0839282,0.0833737,0.0980091,0.1076099,0.0893572,0.1171423,0.066455,0.0500062,0.031556,0.0293638,0.014535,0.0071948,0.0035615
