Item,X0,X1,X2,X3,X4,X5,X6,X7,X8,X9,X10,X11,X12,X13,X14,X15
ate the seeds birds,0.0034648,0.006682,0.0128868,0.0248532,0.0267021,0.0404896,0.0511508,0.0634522,0.0828939,0.096939,0.1330966,0.1013856,0.093775,0.0856328,0.094548,0.0820476
ate the seeds butterflies,0.0388885,0.045654,0.0467328,0.0568728,0.0635015,0.0679041,0.0709341,0.0731792,0.0896133,0.1088843,0.1056513,0.0792872,0.0537578,0.0386518,0.0310402,0.029447
ate the seeds dogs,0.0459291,0.0629259,0.082434,0.0894732,0.0640408,0.0644075,0.0678822,0.0530259,0.0595312,0.0671802,0.0562154,0.0450583,0.0520532,0.0571791,0.0625011,0.070163
beeped houses,0.0870043,0.0938861,0.1127151,0.1090376,0.0815834,0.0823057,0.0704973,0.0830365,0.0832973,0.0508916,0.0360624,0.0336879,0.0224699,0.0190124,0.022121,0.0123913
beeped new cars,6.2e-05,0.0002724,0.0011987,0.0052752,0.0232157,0.1021723,0.063138,0.0612037,0.0912859,0.1036063,0.2593869,0.0661675,0.0468518,0.0218321,0.054192,0.1001396
beeped old cars,0.0278636,0.0349986,0.086812,0.1090235,0.0831797,0.1167135,0.0652008,0.050114,0.0521935,0.0272859,0.0372108,0.04783,0.0726998,0.0499523,0.0441649,0.0947574
blew away backpacks,0.0271592,0.1807779,0.1862379,0.0697826,0.0344701,0.1648373,0.0704274,0.060259,0.0854581,0.0128778,0.0021938,0.002054,0.0117865,0.07817,0.0117439,0.0017644
blew away hats,5.33e-05,0.0001898,0.0006763,0.0024105,0.0085922,0.0306273,0.0237192,0.0605759,0.1237482,0.0734351,0.1586184,0.1092022,0.0903693,0.0673708,0.0832252,0.1671861
blew away napkins,9.3e-06,4.82e-05,0.0002519,0.0013192,0.0069108,0.0362047,0.0082699,0.0086985,0.0389605,0.0214459,0.0774854,0.0364779,0.1205811,0.0740435,0.1000559,0.4692373
broke boxes,0.0003819,0.001174,0.0036101,0.0111016,0.0341395,0.0157313,0.0193527,0.0500752,0.0616676,0.0703637,0.0883414,0.0515221,0.0868532,0.0653031,0.1352019,0.3051804
broke logs,0.0290467,0.0344832,0.1269563,0.0890943,0.0957985,0.0738351,0.0579231,0.0980553,0.115216,0.0625638,0.0776694,0.0183485,0.0053398,0.0058089,0.0209394,0.0889216
broke sunglasses,1e-07,1e-07,1e-07,2e-07,1e-06,5.5e-06,3.42e-05,0.0002149,0.0013538,0.0085306,0.0537563,0.033326,0.1615403,0.093999,0.1402973,0.5069406
burnt books,1e-07,2e-07,8e-07,6.1e-06,5.42e-05,0.000488,0.0044023,0.0397223,0.0101029,0.0525589,0.1216539,0.0136746,0.0032519,0.0160283,0.1431525,0.5949032
burnt matches,5.1e-06,2.19e-05,9.53e-05,0.0004152,0.0018113,0.0079025,0.0344788,0.0087155,0.0055448,0.0167477,0.0713651,0.0275444,0.0551263,0.0838926,0.1884137,0.4979198
burnt rocks,0.1539492,0.1026726,0.1081338,0.0418287,0.0261614,0.0421652,0.0416563,0.0240187,0.0354581,0.0222652,0.0360266,0.0258439,0.0469479,0.0573293,0.0695559,0.165987
decomposed banana peels,2e-07,6e-07,4.5e-06,4.23e-05,0.000409,0.0039612,0.038373,0.0154329,0.1127257,0.0193198,0.0764281,0.0163571,0.0837188,0.0907012,0.0917021,0.4508237
decomposed pinecones,0.0590335,0.0784588,0.1053527,0.0722002,0.0374153,0.0570385,0.0529816,0.0193451,0.0138396,0.0284591,0.0844628,0.0500426,0.0883925,0.0420328,0.0567957,0.1541491
decomposed soda cans,0.4758313,0.1174247,0.0289884,0.0071991,0.0019608,0.0012302,0.0033279,0.0130764,0.0528885,0.0130963,0.0034136,0.001579,0.0033742,0.0129269,0.0521994,0.2114833
dissolved carrots,0.4596111,0.1317059,0.1296196,0.0446205,0.070005,0.066785,0.0269947,0.0539847,0.0127387,0.003006,0.0007094,0.0001675,3.96e-05,9.4e-06,2.3e-06,6e-07
