subject,item,utterance,response,measure
0,were green bananas,Some,5,comp_state
0,rhymed limericks,Some,7,comp_state
0,popped bubbles,Some,4,comp_state
0,lit up computers,Some,4,comp_state
0,broke boxes,None,0,comp_state
0,rolled shopping carts,Some,6,comp_state
0,ran out of batteries laptops,None,0,comp_state
0,melted crayons,All,15,comp_state
0,honked bus drivers,Some,8,comp_state
0,got stained white shirts,None,0,comp_state
0,had the letter Z in them novels,Some,7,comp_state
0,landed flat notebooks,All,15,comp_state
0,stuck stickers,All,15,comp_state
0,ripped shoes,None,0,comp_state
0,reflected the sunlight mirrors,None,0,comp_state
0,fell down block towers,Some,4,comp_state
0,stuck to the wall baseballs,All,15,comp_state
0,beeped new cars,Some,6,comp_state
0,blew away hats,All,15,comp_state
0,flashed phones,Some,5,comp_state
1,sank marbles,Some,5,comp_state
1,lit up flashlights,Some,5,comp_state
1,ate the seeds dogs,Some,5,comp_state
1,exploded gas tanks,None,0,comp_state
1,froze chocolate bars,Some,5,comp_state
1,had the letter Z in them novels,All,15,comp_state
1,burnt books,All,15,comp_state
1,rhymed limericks,None,0,comp_state
1,flashed cameras,Some,6,comp_state
1,blew away hats,All,15,comp_state
1,exploded eggs,None,0,comp_state
1,broke sunglasses,None,0,comp_state
1,stopped motorcycles,Some,5,comp_state
1,were green clovers,All,15,comp_state
1,ripped shirts,Some,6,comp_state
1,rolled wheelchairs,None,0,comp_state
1,decomposed pinecones,Some,4,comp_state
1,stuck stickers,Some,4,comp_state
1,ran out of batteries bike lights,All,15,comp_state
1,stuck to the wall baseballs,Some,7,comp_state
2,were green bananas,Some,8,comp_state
2,dissolved carrots,Some,7,comp_state
2,fell down block towers,Some,7,comp_state
2,popped bubbles,Some,8,comp_state
2,broke sunglasses,All,15,comp_state
2,reflected the sunlight mirrors,All,15,comp_state
2,landed flat coins,Some,8,comp_state
2,stuck sequins,None,0,comp_state
2,rhymed poems,Some,7,comp_state
2,beeped new cars,None,0,comp_state
2,honked bicyclists,Some,8,comp_state
2,rolled wheelchairs,None,0,comp_state
2,flashed cameras,None,0,comp_state
2,blew away hats,Some,7,comp_state
2,got stained white carpets,All,15,comp_state
2,had the letter Z in them novels,All,15,comp_state
2,melted pencils,All,15,comp_state
2,decomposed banana peels,None,0,comp_state
2,ran out of batteries phones,Some,10,comp_state
2,stuck to the wall cakes,Some,8,comp_state
3,stuck stickers,All,15,comp_state
3,broke logs,None,0,comp_state
3,honked bus drivers,Some,7,comp_state
3,melted ice cubes,None,0,comp_state
3,exploded CDs,Some,8,comp_state
3,rolled toy cars,None,0,comp_state
3,froze berries,Some,9,comp_state
3,dissolved oreos,All,15,comp_state
3,stopped cars,All,15,comp_state
3,got stained white carpets,Some,10,comp_state
3,popped bubbles,All,15,comp_state
3,decomposed soda cans,All,15,comp_state
3,reflected the sunlight phone screens,Some,10,comp_state
3,stuck to the wall cakes,Some,8,comp_state
3,ate the seeds dogs,Some,7,comp_state
3,had the letter Z in them love notes,Some,8,comp_state
3,flashed cameras,None,0,comp_state
3,laughed kids,Some,9,comp_state
3,landed flat pancakes,None,0,comp_state
3,lit up flashlights,Some,11,comp_state
4,popped bubbles,Some,8,comp_state
4,landed flat coins,Some,7,comp_state
4,flashed phones,Some,8,comp_state
4,stuck sequins,Some,4,comp_state
4,melted pencils,None,0,comp_state
4,sank balloons,All,15,comp_state
4,stuck to the wall cakes,Some,8,comp_state
4,laughed lawyers,All,15,comp_state
4,rhymed songs,None,15,comp_state
4,dissolved carrots,Some,7,comp_state
4,reflected the sunlight diamonds,All,15,comp_state
4,honked taxi drivers,Some,9,comp_state
4,exploded eggs,All,15,comp_state
4,had the letter Z in them birthday cards,Some,7,comp_state
4,ate the seeds dogs,Some,7,comp_state
4,lit up flashlights,Some,11,comp_state
4,beeped houses,None,0,comp_state
4,rolled shopping carts,None,0,comp_state
4,got stained white carpets,None,0,comp_state
4,stopped motorcycles,All,15,comp_state
5,burnt matches,None,0,comp_state
5,were green bananas,Some,5,comp_state
5,flashed webcams,None,0,comp_state
5,popped balloons,None,0,comp_state
5,stuck to the wall baseballs,All,15,comp_state
5,exploded candles,Some,6,comp_state
5,lit up computers,Some,7,comp_state
5,blew away napkins,All,15,comp_state
5,stopped cars,Some,7,comp_state
5,reflected the sunlight mirrors,All,15,comp_state
5,broke sunglasses,Some,4,comp_state
5,ran out of batteries phones,Some,8,comp_state
5,fell down block towers,Some,7,comp_state
5,exploded CDs,Some,8,comp_state
5,dissolved sugar cubes,Some,6,comp_state
5,honked bus drivers,None,0,comp_state
5,beeped new cars,None,0,comp_state
5,got stained white carpets,All,15,comp_state
5,had the letter Z in them novels,All,15,comp_state
5,froze bottles of hand soap,Some,7,comp_state
6,ate the seeds birds,None,0,comp_state
6,honked taxi drivers,None,0,comp_state
6,fell down block towers,All,15,comp_state
6,dissolved oreos,None,0,comp_state
6,sank balloons,Some,7,comp_state
6,broke sunglasses,All,15,comp_state
6,lit up cd-players,Some,11,comp_state
6,froze bottles of hand soap,Some,8,comp_state
6,exploded eggs,None,0,comp_state
6,reflected the sunlight mirrors,All,15,comp_state
6,flashed phones,Some,8,comp_state
6,stuck beads,All,15,comp_state
6,blew away backpacks,Some,8,comp_state
6,rhymed poems,Some,6,comp_state
6,decomposed soda cans,Some,6,comp_state
6,stopped cars,Some,10,comp_state
6,ran out of batteries phones,All,15,comp_state
6,landed flat pancakes,Some,8,comp_state
6,beeped houses,None,0,comp_state
6,burnt matches,Some,12,comp_state
7,sank balloons,All,15,comp_state
7,burnt books,None,0,comp_state
7,exploded balls of tin foil,All,15,comp_state
7,ripped shirts,None,0,comp_state
7,melted pencils,All,15,comp_state
7,rolled toy cars,All,15,comp_state
7,landed flat pancakes,Some,8,comp_state
7,broke logs,Some,9,comp_state
7,exploded gas tanks,Some,9,comp_state
7,blew away hats,All,15,comp_state
7,had the letter Z in them love notes,Some,7,comp_state
7,ate the seeds birds,None,0,comp_state
7,stuck beads,Some,15,comp_state
7,lit up cd-players,Some,10,comp_state
7,got stained white shirts,None,0,comp_state
7,ran out of batteries laptops,Some,15,comp_state
7,reflected the sunlight mirrors,Some,9,comp_state
7,beeped old cars,None,0,comp_state
7,fell down block towers,Some,10,comp_state
7,flashed cameras,Some,8,comp_state
8,melted crayons,Some,11,comp_state
8,were green strawberries,All,15,comp_state
8,rolled toy cars,All,15,comp_state
8,stuck to the wall cakes,Some,7,comp_state
8,rhymed songs,Some,5,comp_state
8,ate the seeds birds,None,0,comp_state
8,burnt rocks,All,15,comp_state
8,laughed kids,All,15,comp_state
8,lit up flashlights,Some,9,comp_state
8,sank cups,None,0,comp_state
8,blew away hats,Some,11,comp_state
8,flashed webcams,Some,6,comp_state
8,honked bicyclists,Some,6,comp_state
8,froze berries,Some,7,comp_state
8,landed flat notebooks,None,0,comp_state
8,ran out of batteries laptops,Some,14,comp_state
8,ripped books,None,0,comp_state
8,had the letter Z in them novels,None,0,comp_state
8,got stained white shirts,Some,15,comp_state
8,popped bubbles,All,15,comp_state
9,sank marbles,All,15,comp_state
9,were green strawberries,All,15,comp_state
9,rolled shopping carts,None,0,comp_state
9,burnt matches,None,0,comp_state
9,honked taxi drivers,Some,7,comp_state
9,decomposed pinecones,None,0,comp_state
9,laughed comedians,Some,6,comp_state
9,ran out of batteries phones,None,0,comp_state
9,exploded gas tanks,All,15,comp_state
9,had the letter Z in them novels,Some,6,comp_state
9,lit up flashlights,Some,7,comp_state
9,popped eggs,Some,7,comp_state
9,stuck sequins,Some,7,comp_state
9,beeped houses,Some,6,comp_state
9,stuck to the wall pieces of gum,None,0,comp_state
9,ripped shoes,All,15,comp_state
9,landed flat coins,Some,7,comp_state
9,exploded balls of tin foil,Some,6,comp_state
9,blew away hats,Some,6,comp_state
9,dissolved carrots,All,15,comp_state
10,popped eggs,All,15,comp_state
10,rhymed songs,None,0,comp_state
10,exploded fireworks,None,0,comp_state
10,froze chocolate bars,None,0,comp_state
10,lit up flashlights,All,15,comp_state
10,broke sunglasses,Some,12,comp_state
