0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15
0.0106536	0.0218423	0.0132783	0.0118578	0.0168166	0.0308225	0.0299068	0.0450806	0.0530035	0.0579381	0.0625390	0.0692815	0.0817929	0.1068043	0.1577715	0.2306106
0.1056744	0.0260232	0.0069646	0.0041222	0.0108777	0.0429608	0.0399072	0.1297740	0.1163072	0.1033180	0.0605617	0.0236509	0.0418090	0.0221486	0.0540591	0.2118416
0.0895517	0.0832086	0.1170111	0.1134746	0.0708930	0.0625151	0.0530344	0.0378767	0.0409934	0.0326236	0.0399938	0.0353953	0.0478739	0.0521857	0.0504111	0.0729582
0.5719599	0.1239365	0.0147959	0.0018832	0.0012176	0.0084704	0.0708115	0.1265267	0.0708086	0.0084453	0.0010074	0.0001202	0.0000144	0.0000018	0.0000003	0.0000001
0.0678812	0.0370079	0.0293783	0.0402005	0.0212431	0.0156280	0.0198284	0.0364826	0.0210220	0.0187648	0.0282933	0.0555921	0.1178069	0.1439566	0.1504652	0.1964490
0.3255936	0.0905541	0.0923794	0.0491099	0.0387200	0.0340328	0.0227880	0.0711499	0.1144644	0.0748742	0.0399781	0.0140755	0.0249905	0.0056955	0.0012981	0.0002959
0.2769241	0.2036062	0.0974796	0.1397851	0.0521014	0.0437525	0.0163152	0.0137211	0.0320199	0.0133652	0.0150614	0.0396917	0.0390502	0.0121603	0.0037868	0.0011793
0.0050293	0.0098106	0.0191375	0.0373316	0.0293985	0.0350869	0.0570324	0.0619789	0.0522183	0.0666526	0.0685453	0.0587735	0.0762339	0.0855920	0.1346085	0.2025701
0.0000001	0.0000001	0.0000001	0.0000002	0.0000009	0.0000070	0.0000582	0.0004880	0.0040978	0.0344144	0.0051923	0.0098109	0.0783717	0.0900517	0.1209759	0.6565305
0.0000001	0.0000001	0.0000001	0.0000001	0.0000002	0.0000006	0.0000048	0.0000478	0.0004830	0.0048855	0.0494193	0.0615528	0.1409581	0.0631977	0.0662212	0.6132284
0.0596059	0.0300241	0.0225032	0.0315169	0.0636883	0.0712771	0.0955487	0.1186477	0.1218573	0.1075356	0.1008490	0.0611948	0.0308153	0.0230781	0.0322980	0.0295600
