Item	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15
ate the seeds birds	1e-06	0.015626	1e-06	0.015626	1e-06	0.031251	0.031251	0.031251	0.031251	0.031251	0.046876	0.046876	0.093751	0.046876	0.046876	0.531251
ate the seeds butterflies	0.173077923076923	0.0192317692307692	1e-06	0.0192317692307692	0.0192317692307692	0.0384625384615385	0.0192317692307692	0.0576933076923077	0.0961548461538462	0.115385615384615	0.0769240769230769	0.0192317692307692	0.0384625384615385	0.0384625384615385	0.0192317692307692	0.250001
ate the seeds dogs	0.193549387096774	0.032259064516129	0.0806461612903226	0.161291322580645	0.0483880967741935	0.0483880967741935	0.0161300322580645	0.0161300322580645	0.032259064516129	0.0161300322580645	0.0645171290322581	0.0161300322580645	0.0645171290322581	0.0645171290322581	1e-06	0.145162290322581
beeped houses	0.568628450980392	0.0392166862745098	0.0196088431372549	0.0392166862745098	0.0196088431372549	0.0588245294117647	0.0196088431372549	0.0392166862745098	0.0980402156862745	1e-06	0.0196088431372549	1e-06	0.0196088431372549	1e-06	1e-06	0.0588245294117647
beeped new cars	0.0862078965517241	0.0172423793103448	0.0344837586206897	0.0517251379310345	0.0517251379310345	0.0689665172413793	0.0344837586206897	0.0517251379310345	0.0689665172413793	0.0344837586206897	1e-06	0.0344837586206897	0.0862078965517241	0.0689665172413793	0.0344837586206897	0.275863068965517
beeped old cars	0.457143857142857	0.0428581428571429	0.100001	0.0428581428571429	0.0285724285714286	0.0285724285714286	0.0428581428571429	0.0428581428571429	0.114286714285714	0.0285724285714286	0.0428581428571429	1e-06	0.0142867142857143	1e-06	0.0142867142857143	1e-06
blew away backpacks	0.338984050847458	0.11864506779661	0.101695915254237	0.101695915254237	0.0847467627118644	0.0508484576271186	0.0677976101694915	0.0169501525423729	0.0677976101694915	1e-06	1e-06	0.0169501525423729	0.0169501525423729	1e-06	1e-06	0.0169501525423729
blew away hats	1e-06	1e-06	1e-06	0.020001	1e-06	0.020001	0.040001	0.100001	0.040001	0.060001	0.120001	0.100001	0.140001	0.060001	0.040001	0.260001
blew away napkins	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	0.0144937536231884	0.0144937536231884	0.0434792608695652	0.0289865072463768	0.0144937536231884	0.0579720144927536	0.072464768115942	0.0434792608695652	0.710145927536232
broke boxes	0.0169501525423729	1e-06	1e-06	1e-06	1e-06	0.0169501525423729	1e-06	1e-06	0.0338993050847458	1e-06	0.0847467627118644	0.0508484576271186	0.0508484576271186	0.0677976101694915	0.0169501525423729	0.661017949152542
broke logs	0.202899550724638	0.0289865072463768	0.0434792608695652	0.0144937536231884	0.130435782608696	0.0869575217391304	0.0434792608695652	0.0579720144927536	0.130435782608696	0.0289865072463768	0.072464768115942	0.0289865072463768	0.0144937536231884	1e-06	0.0289865072463768	0.0869575217391304
broke sunglasses	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	0.0196088431372549	1e-06	0.0196088431372549	0.0588245294117647	0.0588245294117647	0.0196088431372549	0.0980402156862745	0.725491196078431
burnt books	1e-06	1e-06	1e-06	1e-06	0.015626	1e-06	1e-06	0.015626	1e-06	0.031251	1e-06	0.062501	0.015626	1e-06	0.062501	0.796876
burnt matches	1e-06	1e-06	1e-06	1e-06	1e-06	0.020001	0.020001	1e-06	1e-06	1e-06	0.020001	1e-06	1e-06	0.020001	0.040001	0.880001
