workerid	ate the seeds birds	ate the seeds butterflies	ate the seeds dogs	beeped houses	beeped new cars	beeped old cars	blew away backpacks	blew away hats	blew away napkins	broke boxes	broke logs	broke sunglasses	burnt books	burnt matches	burnt rocks	decomposed banana peels	decomposed pinecones	decomposed soda cans	dissolved carrots	dissolved oreos	dissolved sugar cubes	exploded balls of tin foil	exploded candles	exploded CDs	exploded eggs	exploded fireworks	exploded gas tanks	fell down block towers	fell down card towers	fell down shelves	flashed cameras	flashed phones	flashed webcams	froze berries	froze bottles of hand soap	froze chocolate bars	got stained white carpets	got stained white shirts	got stained white tablecloths	had the letter Z in them birthday cards	had the letter Z in them love notes	had the letter Z in them novels	honked bicyclists	honked bus drivers	honked taxi drivers	landed flat coins	landed flat notebooks	landed flat pancakes	laughed comedians	laughed kids	laughed lawyers	lit up cd-players	lit up computers	lit up flashlights	melted crayons	melted ice cubes	melted pencils	popped balloons	popped bubbles	popped eggs	ran out of batteries bike lights	ran out of batteries laptops	ran out of batteries phones	reflected the sunlight diamonds	reflected the sunlight mirrors	reflected the sunlight phone screens	rhymed limericks	rhymed poems	rhymed songs	ripped books	ripped shirts	ripped shoes	rolled shopping carts	rolled toy cars	rolled wheelchairs	sank balloons	sank cups	sank marbles	stopped bicycles	stopped cars	stopped motorcycles	stuck beads	stuck sequins	stuck stickers	stuck to the wall baseballs	stuck to the wall cakes	stuck to the wall pieces of gum	were green bananas	were green clovers	were green strawberries
10	-1	0	-1	0	-1	-1	1	-1	-1	15	-1	-1	-1	15	-1	-1	-1	0	0	-1	-1	-1	-1	-1	15	15	-1	-1	-1	9	-1	-1	1	-1	-1	15	-1	-1	15	2	-1	-1	-1	12	-1	-1	-1	13	-1	-1	10	12	-1	-1	-1	-1	0	-1	14	-1	-1	15	-1	-1	15	-1	-1	13	-1	-1	13	-1	-1	-1	15	0	-1	-1	-1	-1	14	-1	15	-1	-1	1	-1	2	-1	-1
11	-1	15	-1	-1	-1	0	3	-1	-1	-1	-1	15	-1	15	-1	11	-1	-1	-1	15	-1	-1	0	-1	8	-1	-1	15	-1	-1	4	-1	-1	15	-1	-1	-1	15	-1	-1	-1	11	0	-1	-1	15	-1	-1	-1	8	-1	15	-1	-1	-1	-1	0	15	-1	-1	15	-1	-1	15	-1	-1	-1	-1	12	10	-1	-1	-1	-1	15	-1	-1	15	-1	15	-1	-1	15	-1	-1	3	-1	-1	-1	3
12	-1	-1	0	0	-1	-1	0	-1	-1	-1	0	-1	15	-1	-1	-1	-1	0	-1	-1	15	15	0	-1	-1	-1	-1	4	-1	-1	-1	-1	0	-1	15	-1	-1	-1	15	-1	3	-1	0	-1	-1	15	-1	-1	-1	10	-1	12	-1	-1	15	-1	-1	14	-1	-1	-1	14	-1	-1	-1	14	15	-1	-1	15	-1	-1	-1	12	-1	-1	0	-1	-1	-1	8	-1	-1	15	-1	0	-1	8	-1	-1
13	-1	-1	15	-1	-1	2	-1	15	-1	-1	9	-1	-1	15	-1	-1	-1	0	-1	-1	15	-1	0	0	-1	-1	-1	-1	-1	10	-1	-1	10	15	-1	-1	-1	15	-1	-1	-1	15	-1	-1	14	-1	-1	12	-1	12	-1	-1	-1	15	-1	-1	0	15	-1	-1	12	-1	-1	-1	-1	15	-1	-1	14	-1	14	-1	-1	15	-1	0	-1	-1	-1	-1	15	-1	15	-1	-1	13	-1	-1	15	-1
14	-1	-1	3	-1	-1	0	-1	-1	15	15	-1	-1	-1	-1	0	-1	-1	0	0	-1	-1	-1	-1	11	-1	14	-1	7	-1	-1	-1	-1	2	15	-1	-1	-1	-1	15	-1	13	-1	-1	12	-1	15	-1	-1	-1	-1	10	-1	-1	13	12	-1	-1	-1	-1	14	13	-1	-1	14	-1	-1	12	-1	-1	12	-1	-1	15	-1	-1	-1	-1	15	-1	15	-1	-1	-1	14	-1	11	-1	-1	14	-1
15	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	4	-1	-1	-1	-1	-1	-1	13	-1	15	-1	-1	-1	-1	-1	-1	-1	15	-1	-1	-1	-1	-1	-1	-1	13	-1	-1	13	-1	-1	-1	-1	-1	-1	-1	-1	15	3	-1	-1	15	-1	-1	-1	-1	0	-1	9	-1	12	-1	-1	-1	-1	-1	-1	-1	-1	14	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	8	-1	-1	-1	-1	0
16	-1	12	-1	-1	-1	8	-1	15	-1	-1	-1	15	15	-1	-1	15	-1	-1	-1	-1	15	-1	-1	-1	15	-1	15	15	-1	-1	-1	11	-1	-1	-1	15	15	-1	-1	1	-1	-1	-1	13	-1	-1	15	-1	11	-1	-1	-1	-1	15	-1	15	-1	-1	-1	7	-1	-1	15	15	-1	-1	15	-1	-1	15	-1	-1	-1	15	-1	-1	-1	15	15	-1	-1	-1	-1	15	-1	-1	8	5	-1	-1
17	-1	15	-1	8	-1	-1	-1	-1	15	15	-1	-1	15	-1	-1	15	-1	-1	-1	-1	15	-1	-1	-1	15	15	-1	-1	-1	12	-1	-1	15	-1	-1	15	15	-1	-1	6	-1	-1	12	-1	-1	-1	15	-1	-1	-1	8	-1	-1	15	-1	-1	15	-1	-1	15	15	-1	-1	-1	-1	15	-1	9	-1	15	-1	-1	-1	-1	15	-1	15	-1	-1	15	-1	-1	15	-1	-1	-1	15	0	-1	-1
18	-1	10	-1	-1	-1	9	-1	-1	15	12	-1	-1	15	-1	-1	-1	10	-1	8	-1	-1	9	-1	-1	-1	-1	15	11	-1	-1	-1	-1	10	15	-1	-1	10	-1	-1	-1	10	-1	-1	-1	14	-1	-1	8	7	-1	-1	-1	9	-1	-1	13	-1	-1	15	-1	-1	-1	12	-1	8	-1	-1	-1	8	-1	15	-1	-1	7	-1	-1	7	-1	-1	12	-1	11	-1	-1	-1	11	-1	-1	-1	11
19	-1	-1	3	-1	-1	0	-1	-1	15	15	-1	-1	-1	15	-1	-1	-1	0	0	-1	-1	15	0	-1	-1	-1	-1	15	-1	-1	-1	-1	5	15	-1	-1	-1	-1	15	-1	-1	15	-1	-1	10	-1	-1	8	-1	-1	5	-1	14	-1	-1	15	-1	-1	15	-1	-1	-1	10	15	-1	-1	-1	8	-1	10	-1	-1	15	-1	-1	0	-1	-1	-1	15	-1	-1	15	-1	-1	-1	2	-1	15	-1
20	-1	8	-1	-1	-1	10	-1	6	-1	-1	15	-1	-1	-1	6	10	-1	-1	0	-1	-1	5	9	-1	-1	-1	-1	11	-1	-1	-1	-1	7	15	-1	-1	8	-1	-1	-1	-1	7	8	-1	-1	-1	-1	11	-1	-1	5	-1	15	-1	9	-1	-1	-1	9	-1	-1	7	-1	-1	-1	4	-1	-1	12	11	-1	-1	-1	15	-1	-1	12	-1	-1	10	-1	9	-1	-1	-1	-1	9	-1	-1	8
21	-1	0	-1	0	-1	-1	-1	15	-1	-1	-1	15	15	-1	-1	-1	-1	0	0	-1	-1	-1	0	-1	15	-1	-1	-1	15	-1	-1	5	-1	15	-1	-1	-1	-1	15	-1	-1	15	-1	10	-1	15	-1	-1	-1	-1	8	-1	-1	15	15	-1	-1	-1	15	-1	-1	-1	3	15	-1	-1	-1	14	-1	15	-1	-1	-1	15	-1	0	-1	-1	15	-1	-1	-1	-1	15	0	-1	-1	-1	15	-1
22	-1	15	-1	-1	0	-1	0	-1	-1	15	-1	-1	-1	-1	15	-1	-1	0	-1	0	-1	-1	-1	-1	10	0	-1	-1	15	-1	-1	-1	0	-1	15	-1	-1	-1	15	-1	-1	15	-1	13	-1	-1	-1	14	13	-1	-1	14	-1	-1	-1	15	-1	-1	15	-1	-1	-1	7	15	-1	-1	-1	13	-1	-1	-1	10	-1	15	-1	-1	-1	15	-1	-1	15	-1	-1	15	0	-1	-1	5	-1	-1
23	-1	0	-1	-1	-1	0	-1	-1	15	-1	-1	15	15	-1	-1	-1	-1	0	0	-1	-1	-1	0	-1	1	-1	-1	-1	15	-1	-1	-1	4	-1	-1	15	15	-1	-1	-1	2	-1	0	-1	-1	-1	-1	15	10	-1	-1	15	-1	-1	15	-1	-1	15	-1	-1	-1	15	-1	15	-1	-1	-1	10	-1	-1	8	-1	-1	15	-1	0	-1	-1	-1	15	-1	-1	-1	15	0	-1	-1	-1	-1	1
24	8	-1	-1	-1	15	-1	-1	15	-1	15	-1	-1	15	-1	-1	-1	-1	0	0	-1	-1	-1	-1	0	-1	15	-1	-1	15	-1	-1	15	-1	-1	-1	15	-1	-1	15	-1	-1	15	8	-1	-1	-1	15	-1	8	-1	-1	15	-1	-1	-1	15	-1	15	-1	-1	15	-1	-1	15	-1	-1	-1	-1	8	-1	-1	15	-1	15	-1	0	-1	-1	-1	-1	15	-1	-1	15	0	-1	-1	-1	-1	8
25	-1	-1	10	0	-1	-1	-1	15	-1	-1	-1	15	15	-1	-1	-1	15	-1	-1	0	-1	15	0	-1	-1	-1	-1	-1	-1	1	-1	8	-1	15	-1	-1	-1	-1	13	5	-1	-1	-1	15	-1	-1	5	-1	-1	10	-1	-1	-1	15	13	-1	-1	-1	15	-1	8	-1	-1	15	-1	-1	-1	15	-1	10	-1	-1	14	-1	-1	-1	0	-1	-1	-1	15	-1	-1	15	0	-1	-1	8	-1	-1
26	-1	-1	2	-1	-1	5	3	-1	-1	-1	-1	15	-1	-1	0	-1	15	-1	-1	-1	15	-1	0	-1	8	-1	-1	15	-1	-1	-1	-1	7	15	-1	-1	15	-1	-1	3	-1	-1	7	-1	-1	-1	-1	15	-1	-1	8	-1	-1	7	15	-1	-1	15	-1	-1	-1	-1	8	-1	-1	15	-1	11	-1	-1	-1	8	-1	-1	15	-1	-1	15	14	-1	-1	-1	15	-1	-1	-1	7	-1	-1	0
27	13	-1	-1	-1	-1	4	12	-1	-1	-1	-1	15	-1	14	-1	15	-1	-1	-1	14	-1	-1	0	14	-1	-1	-1	-1	-1	9	-1	-1	8	15	-1	-1	-1	-1	15	-1	11	-1	12	-1	-1	15	-1	-1	-1	9	-1	-1	14	-1	13	-1	-1	-1	-1	13	-1	-1	12	13	-1	-1	-1	13	-1	-1	13	-1	-1	-1	14	0	-1	-1	14	-1	-1	-1	-1	13	0	-1	-1	6	-1	-1
28	14	-1	-1	0	-1	-1	-1	12	-1	-1	8	-1	-1	15	-1	15	-1	-1	0	-1	-1	-1	0	0	-1	-1	-1	14	-1	-1	-1	3	-1	-1	15	-1	15	-1	-1	-1	2	-1	0	-1	-1	15	-1	-1	-1	-1	7	13	-1	-1	-1	15	-1	-1	15	-1	-1	13	-1	-1	15	-1	13	-1	-1	-1	15	-1	-1	-1	15	-1	10	-1	-1	15	-1	-1	11	-1	-1	-1	5	-1	15	-1
29	14	-1	-1	-1	-1	8	-1	-1	9	-1	6	-1	-1	-1	1	-1	3	-1	0	-1	-1	-1	-1	15	-1	-1	14	-1	14	-1	-1	11	-1	-1	-1	15	15	-1	-1	2	-1	-1	-1	11	-1	-1	10	-1	-1	-1	0	-1	8	-1	-1	-1	0	-1	-1	7	-1	-1	8	12	-1	-1	11	-1	-1	13	-1	-1	12	-1	-1	-1	7	-1	14	-1	-1	-1	-1	11	-1	3	-1	-1	-1	8
30	15	-1	-1	-1	-1	0	-1	15	-1	-1	-1	15	-1	15	-1	15	-1	-1	-1	15	-1	-1	-1	0	-1	-1	15	15	-1	-1	-1	-1	8	-1	-1	15	15	-1	-1	-1	3	-1	-1	3	-1	-1	9	-1	14	-1	-1	-1	15	-1	15	-1	-1	-1	15	-1	-1	15	-1	-1	-1	15	-1	13	-1	-1	-1	15	-1	15	-1	0	-1	-1	15	-1	-1	-1	-1	15	-1	0	-1	7	-1	-1
31	-1	-1	2	-1	-1	2	0	-1	-1	-1	-1	14	-1	15	-1	3	-1	-1	0	-1	-1	-1	0	-1	12	-1	-1	-1	-1	3	8	-1	-1	15	-1	-1	-1	-1	15	-1	7	-1	-1	-1	13	-1	9	-1	-1	-1	11	-1	-1	10	-1	-1	0	14	-1	-1	9	-1	-1	-1	-1	10	-1	7	-1	-1	10	-1	15	-1	-1	-1	-1	14	15	-1	-1	-1	12	-1	-1	-1	5	-1	-1	5
32	15	-1	-1	-1	-1	0	-1	10	-1	15	-1	-1	15	-1	-1	-1	-1	0	0	-1	-1	-1	-1	-1	0	-1	15	-1	-1	2	-1	-1	0	-1	15	-1	-1	-1	15	2	-1	-1	-1	-1	13	15	-1	-1	-1	12	-1	-1	-1	14	-1	-1	0	-1	-1	0	-1	-1	4	-1	15	-1	-1	2	-1	-1	-1	12	-1	15	-1	-1	-1	15	-1	15	-1	-1	14	-1	-1	1	-1	-1	-1	7
33	12	-1	-1	0	-1	-1	0	-1	-1	15	-1	-1	-1	-1	0	-1	-1	0	-1	-1	15	0	0	-1	-1	-1	-1	-1	-1	5	-1	8	-1	15	-1	-1	-1	-1	15	0	-1	-1	0	-1	-1	15	-1	-1	-1	8	-1	15	-1	-1	-1	15	-1	15	-1	-1	-1	9	-1	15	-1	-1	15	-1	-1	-1	5	-1	15	-1	-1	0	-1	-1	15	-1	-1	-1	14	-1	-1	2	-1	-1	15	-1
34	-1	8	-1	-1	-1	0	-1	-1	15	-1	11	-1	-1	13	-1	-1	8	-1	-1	-1	15	-1	-1	-1	10	-1	15	-1	15	-1	-1	8	-1	15	-1	-1	-1	-1	15	2	-1	-1	0	-1	-1	-1	-1	15	-1	-1	3	14	-1	-1	-1	-1	0	15	-1	-1	14	-1	-1	-1	15	-1	-1	-1	3	-1	-1	11	15	-1	-1	-1	8	-1	15	-1	-1	9	-1	-1	-1	-1	10	-1	13	-1
35	10	-1	-1	-1	-1	8	-1	-1	12	-1	14	-1	14	-1	-1	14	-1	-1	-1	15	-1	-1	-1	-1	15	-1	15	-1	-1	9	-1	14	-1	15	-1	-1	-1	15	-1	-1	-1	15	-1	15	-1	15	-1	-1	-1	-1	8	13	-1	-1	15	-1	-1	-1	-1	5	-1	8	-1	15	-1	-1	14	-1	-1	15	-1	-1	7	-1	-1	-1	8	-1	-1	-1	13	11	-1	-1	-1	-1	15	-1	15	-1
36	-1	7	-1	-1	-1	0	-1	-1	15	-1	5	-1	-1	15	-1	-1	10	-1	-1	-1	15	-1	-1	5	-1	15	-1	-1	15	-1	-1	-1	2	-1	15	-1	-1	-1	15	-1	-1	15	1	-1	-1	15	-1	-1	12	-1	-1	10	-1	-1	-1	-1	0	-1	15	-1	-1	13	-1	-1	-1	15	15	-1	-1	-1	13	-1	-1	-1	15	-1	6	-1	15	-1	-1	-1	-1	15	-1	2	-1	-1	-1	1
37	15	-1	-1	1	-1	-1	3	-1	-1	15	-1	-1	15	-1	-1	15	-1	-1	0	-1	-1	-1	-1	0	-1	-1	0	-1	15	-1	10	-1	-1	15	-1	-1	-1	-1	15	1	-1	-1	-1	0	-1	-1	-1	8	6	-1	-1	-1	-1	15	-1	15	-1	-1	-1	15	-1	14	-1	-1	11	-1	15	-1	-1	-1	15	-1	15	-1	-1	2	-1	-1	12	-1	-1	15	-1	-1	-1	-1	1	-1	15	-1
38	15	-1	-1	-1	15	-1	1	-1	-1	-1	-1	15	-1	-1	8	-1	0	-1	0	-1	-1	15	-1	-1	-1	-1	15	15	-1	-1	8	-1	-1	-1	15	-1	-1	15	-1	-1	8	-1	-1	12	-1	15	-1	-1	8	-1	-1	15	-1	-1	-1	-1	0	15	-1	-1	-1	15	-1	-1	15	-1	-1	-1	14	-1	-1	15	-1	-1	15	-1	15	-1	-1	-1	15	-1	15	-1	0	-1	-1	-1	15	-1
39	-1	9	-1	-1	-1	9	8	-1	-1	-1	10	-1	11	-1	-1	12	-1	-1	-1	8	-1	-1	-1	6	-1	10	-1	8	-1	-1	-1	-1	9	-1	-1	6	9	-1	-1	10	-1	-1	-1	10	-1	6	-1	-1	11	-1	-1	8	-1	-1	-1	-1	10	10	-1	-1	9	-1	-1	-1	-1	8	-1	10	-1	-1	8	-1	-1	10	-1	-1	-1	10	-1	9	-1	-1	10	-1	9	-1	-1	-1	9	-1
40	-1	-1	3	-1	13	-1	11	-1	-1	-1	10	-1	15	-1	-1	-1	-1	13	13	-1	-1	-1	-1	11	-1	14	-1	-1	-1	12	12	-1	-1	-1	9	-1	-1	-1	13	-1	11	-1	-1	13	-1	-1	-1	13	9	-1	-1	12	-1	-1	-1	-1	13	15	-1	-1	14	-1	-1	-1	12	-1	-1	9	-1	11	-1	-1	15	-1	-1	10	-1	-1	-1	-1	15	-1	-1	12	9	-1	-1	-1	-1	6
41	9	-1	-1	-1	-1	0	0	-1	-1	-1	6	-1	-1	-1	15	-1	0	-1	-1	-1	15	15	0	-1	-1	-1	-1	15	-1	-1	-1	15	-1	15	-1	-1	15	-1	-1	-1	0	-1	-1	-1	7	-1	15	-1	-1	8	-1	15	-1	-1	-1	15	-1	-1	15	-1	0	-1	-1	15	-1	-1	10	-1	-1	-1	-1	11	15	-1	-1	-1	0	-1	-1	15	-1	-1	-1	15	-1	5	-1	-1	-1	0
42	-1	15	-1	-1	-1	0	-1	-1	15	-1	10	-1	15	-1	-1	15	-1	-1	0	-1	-1	15	-1	-1	-1	-1	15	15	-1	-1	-1	15	-1	-1	0	-1	-1	-1	15	-1	-1	15	-1	15	-1	15	-1	-1	15	-1	-1	15	-1	-1	15	-1	-1	-1	-1	15	15	-1	-1	15	-1	-1	15	-1	-1	15	-1	-1	15	-1	-1	-1	0	-1	-1	15	-1	-1	-1	15	0	-1	-1	-1	-1	7
43	-1	-1	13	6	-1	-1	-1	3	-1	-1	7	-1	-1	-1	15	-1	15	-1	-1	15	-1	-1	-1	-1	15	-1	15	-1	15	-1	10	-1	-1	15	-1	-1	15	-1	-1	-1	2	-1	-1	-1	12	-1	14	-1	-1	12	-1	-1	-1	14	-1	15	-1	15	-1	-1	15	-1	-1	15	-1	-1	-1	15	-1	13	-1	-1	-1	-1	15	-1	15	-1	15	-1	-1	-1	15	-1	0	-1	-1	-1	15	-1
44	15	-1	-1	-1	-1	0	3	-1	-1	-1	0	-1	15	-1	-1	-1	-1	0	0	-1	-1	-1	-1	0	-1	13	-1	-1	15	-1	9	-1	-1	-1	-1	15	-1	15	-1	-1	-1	15	0	-1	-1	-1	-1	12	-1	5	-1	12	-1	-1	-1	15	-1	-1	-1	0	-1	-1	9	-1	15	-1	15	-1	-1	-1	-1	10	-1	11	-1	0	-1	-1	-1	-1	15	13	-1	-1	0	-1	-1	-1	-1	0
45	-1	9	-1	-1	12	-1	-1	-1	15	12	-1	-1	-1	15	-1	10	-1	-1	-1	2	-1	-1	0	0	-1	-1	-1	-1	-1	6	-1	-1	5	15	-1	-1	-1	15	-1	5	-1	-1	-1	-1	13	-1	14	-1	-1	-1	12	-1	-1	10	-1	15	-1	-1	15	-1	-1	-1	10	-1	15	-1	9	-1	-1	-1	-1	10	-1	-1	15	-1	0	-1	-1	-1	15	-1	-1	15	0	-1	-1	-1	-1	3
46	11	-1	-1	7	-1	-1	-1	-1	12	-1	-1	14	15	-1	-1	-1	-1	3	4	-1	-1	-1	-1	-1	10	-1	11	13	-1	-1	-1	9	-1	-1	13	-1	-1	15	-1	7	-1	-1	-1	10	-1	-1	9	-1	-1	8	-1	13	-1	-1	15	-1	-1	-1	-1	14	-1	-1	10	-1	14	-1	14	-1	-1	-1	-1	9	-1	-1	7	12	-1	-1	12	-1	-1	-1	-1	13	-1	-1	9	-1	-1	0
47	15	-1	-1	-1	15	-1	-1	-1	15	-1	-1	15	15	-1	-1	15	-1	-1	0	-1	-1	-1	-1	15	-1	-1	15	12	-1	-1	15	-1	-1	15	-1	-1	-1	15	-1	0	-1	-1	5	-1	-1	15	-1	-1	5	-1	-1	15	-1	-1	13	-1	-1	15	-1	-1	15	-1	-1	-1	15	-1	-1	15	-1	-1	-1	7	-1	15	-1	0	-1	-1	-1	15	-1	-1	-1	15	-1	-1	5	7	-1	-1
48	-1	5	-1	0	-1	-1	-1	14	-1	-1	-1	15	-1	-1	0	-1	11	-1	-1	-1	15	-1	-1	11	-1	13	-1	-1	15	-1	1	-1	-1	15	-1	-1	15	-1	-1	-1	3	-1	6	-1	-1	-1	14	-1	-1	5	-1	-1	15	-1	12	-1	-1	14	-1	-1	-1	9	-1	-1	-1	15	-1	-1	11	-1	-1	12	-1	11	-1	-1	3	-1	-1	-1	14	5	-1	-1	-1	-1	7	5	-1	-1
49	-1	-1	6	-1	-1	0	-1	-1	15	15	-1	-1	15	-1	-1	-1	-1	9	5	-1	-1	15	0	-1	-1	-1	-1	3	-1	-1	-1	6	-1	-1	-1	15	-1	15	-1	-1	-1	2	-1	10	-1	-1	-1	9	9	-1	-1	9	-1	-1	15	-1	-1	-1	15	-1	-1	-1	15	15	-1	-1	-1	10	-1	-1	15	-1	12	-1	-1	0	-1	-1	15	-1	-1	-1	-1	12	-1	2	-1	6	-1	-1
50	-1	-1	15	-1	15	-1	-1	-1	13	-1	8	-1	15	-1	-1	-1	-1	0	-1	15	-1	-1	-1	4	-1	-1	15	-1	12	-1	-1	-1	8	15	-1	-1	-1	-1	15	2	-1	-1	-1	5	-1	15	-1	-1	-1	10	-1	-1	15	-1	-1	-1	0	-1	15	-1	-1	15	-1	-1	15	-1	14	-1	-1	-1	-1	8	8	-1	-1	0	-1	-1	-1	-1	14	-1	-1	15	-1	-1	0	-1	15	-1
