workerid	ate the seeds birds	ate the seeds butterflies	ate the seeds dogs	beeped houses	beeped new cars	beeped old cars	blew away backpacks	blew away hats	blew away napkins	broke boxes	broke logs	broke sunglasses	burnt books	burnt matches	burnt rocks	decomposed banana peels	decomposed pinecones	decomposed soda cans	dissolved carrots	dissolved oreos	dissolved sugar cubes	exploded balls of tin foil	exploded candles	exploded CDs	exploded eggs	exploded fireworks	exploded gas tanks	fell down block towers	fell down card towers	fell down shelves	flashed cameras	flashed phones	flashed webcams	froze berries	froze bottles of hand soap	froze chocolate bars	got stained white carpets	got stained white shirts	got stained white tablecloths	had the letter Z in them birthday cards	had the letter Z in them love notes	had the letter Z in them novels	honked bicyclists	honked bus drivers	honked taxi drivers	landed flat coins	landed flat notebooks	landed flat pancakes	laughed comedians	laughed kids	laughed lawyers	lit up cd-players	lit up computers	lit up flashlights	melted crayons	melted ice cubes	melted pencils	popped balloons	popped bubbles	popped eggs	ran out of batteries bike lights	ran out of batteries laptops	ran out of batteries phones	reflected the sunlight diamonds	reflected the sunlight mirrors	reflected the sunlight phone screens	rhymed limericks	rhymed poems	rhymed songs	ripped books	ripped shirts	ripped shoes	rolled shopping carts	rolled toy cars	rolled wheelchairs	sank balloons	sank cups	sank marbles	stopped bicycles	stopped cars	stopped motorcycles	stuck beads	stuck sequins	stuck stickers	stuck to the wall baseballs	stuck to the wall cakes	stuck to the wall pieces of gum	were green bananas	were green clovers	were green strawberries
0	15	-1	-1	7	-1	-1	-1	-1	15	-1	8	-1	-1	-1	0	-1	12	-1	0	-1	-1	15	-1	-1	-1	-1	15	-1	15	-1	-1	10	-1	-1	-1	15	-1	15	-1	-1	-1	15	-1	7	-1	-1	15	-1	-1	-1	7	-1	15	-1	-1	15	-1	-1	-1	15	-1	15	-1	-1	15	-1	-1	8	-1	-1	8	-1	-1	-1	15	-1	-1	15	-1	9	-1	-1	11	-1	-1	15	-1	-1	-1	4
1	15	-1	-1	0	-1	-1	-1	-1	15	11	-1	-1	-1	15	-1	-1	-1	0	0	-1	-1	-1	-1	-1	0	12	-1	-1	15	-1	-1	-1	5	-1	-1	15	15	-1	-1	-1	4	-1	8	-1	-1	-1	-1	15	-1	-1	8	-1	15	-1	-1	15	-1	13	-1	-1	3	-1	-1	-1	-1	15	-1	-1	8	11	-1	-1	-1	15	-1	0	-1	-1	-1	-1	15	-1	15	-1	-1	-1	5	-1	15	-1
2	-1	-1	8	-1	3	-1	-1	-1	13	15	-1	-1	15	-1	-1	-1	-1	15	0	-1	-1	-1	-1	15	-1	11	-1	-1	-1	3	-1	-1	7	15	-1	-1	-1	15	-1	-1	4	-1	10	-1	-1	-1	6	-1	-1	6	-1	-1	-1	9	-1	-1	6	15	-1	-1	-1	15	-1	12	-1	-1	-1	-1	6	-1	-1	13	-1	15	-1	-1	-1	15	-1	-1	15	15	-1	-1	-1	-1	11	6	-1	-1
3	-1	-1	12	0	-1	-1	-1	-1	15	-1	-1	15	15	-1	-1	15	-1	-1	-1	0	-1	15	-1	-1	-1	13	-1	-1	15	-1	12	-1	-1	15	-1	-1	-1	15	-1	1	-1	-1	-1	-1	14	-1	-1	15	-1	-1	7	-1	14	-1	15	-1	-1	14	-1	-1	-1	-1	12	-1	15	-1	-1	7	-1	15	-1	-1	-1	15	-1	-1	15	-1	-1	-1	14	-1	14	-1	-1	1	-1	-1	-1	7
4	-1	7	-1	-1	-1	3	-1	-1	15	-1	-1	15	-1	-1	0	-1	-1	0	0	-1	-1	-1	-1	15	-1	14	-1	10	-1	-1	-1	8	-1	-1	15	-1	-1	-1	15	4	-1	-1	-1	6	-1	-1	-1	15	-1	7	-1	-1	-1	14	-1	15	-1	-1	-1	15	-1	15	-1	-1	-1	15	15	-1	-1	15	-1	-1	15	-1	-1	0	-1	-1	15	-1	-1	14	-1	-1	0	-1	-1	2	-1	-1
5	15	-1	-1	-1	-1	0	0	-1	-1	-1	4	-1	15	-1	-1	-1	-1	4	-1	-1	15	-1	-1	-1	3	15	-1	15	-1	-1	-1	-1	0	-1	-1	15	-1	15	-1	0	-1	-1	0	-1	-1	-1	15	-1	-1	-1	7	-1	-1	15	15	-1	-1	15	-1	-1	-1	-1	3	15	-1	-1	-1	15	-1	-1	15	-1	15	-1	-1	-1	15	-1	-1	15	-1	-1	15	-1	-1	5	-1	-1	15	-1
6	-1	-1	0	-1	14	-1	0	-1	-1	-1	-1	15	15	-1	-1	-1	-1	0	0	-1	-1	15	0	-1	-1	-1	-1	-1	15	-1	8	-1	-1	-1	-1	15	15	-1	-1	4	-1	-1	-1	9	-1	14	-1	-1	-1	-1	11	-1	15	-1	-1	15	-1	-1	-1	0	15	-1	-1	-1	-1	15	15	-1	-1	-1	-1	13	15	-1	-1	0	-1	-1	15	-1	-1	-1	14	-1	0	-1	-1	-1	15	-1
7	1	-1	-1	-1	7	-1	5	-1	-1	15	-1	-1	-1	15	-1	-1	0	-1	-1	15	-1	-1	-1	-1	5	10	-1	12	-1	-1	9	-1	-1	15	-1	-1	-1	15	-1	-1	-1	15	-1	-1	15	-1	15	-1	-1	6	-1	-1	-1	15	15	-1	-1	-1	15	-1	-1	-1	4	-1	12	-1	7	-1	-1	-1	12	-1	-1	-1	7	-1	-1	15	-1	15	-1	-1	13	-1	0	-1	-1	3	-1	-1
8	5	-1	-1	-1	-1	0	1	-1	-1	12	-1	-1	-1	-1	2	15	-1	-1	-1	-1	15	13	0	-1	-1	-1	-1	15	-1	-1	8	-1	-1	15	-1	-1	15	-1	-1	-1	-1	15	1	-1	-1	-1	14	-1	-1	10	-1	-1	-1	15	-1	15	-1	15	-1	-1	-1	-1	13	-1	-1	14	-1	-1	8	1	-1	-1	14	-1	-1	-1	-1	15	-1	14	-1	8	-1	-1	-1	-1	3	4	-1	-1
9	-1	-1	5	-1	-1	7	-1	-1	15	15	-1	-1	15	-1	-1	15	-1	-1	-1	-1	15	-1	-1	15	-1	-1	11	-1	-1	10	-1	8	-1	15	-1	-1	-1	-1	15	-1	1	-1	10	-1	-1	15	-1	-1	8	-1	-1	-1	15	-1	-1	-1	0	-1	15	-1	-1	-1	15	15	-1	-1	15	-1	-1	-1	10	-1	-1	-1	15	0	-1	-1	-1	-1	15	-1	-1	15	-1	8	-1	10	-1	-1
