"Item"	"0"	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"14"	"15"
"0.1_1"	0.378446959523401	0.137368321045357	0.0863208327345302	0.0636356983517831	0.0506957930756101	0.0422882420318439	0.0363667615338761	0.0319602888698584	0.0285473544283629	0.0258222826422744	0.0235937503461969	0.0217357402172239	0.0201617863010147	0.0188105386109464	0.0176372320299495	0.0166084182577714
"0.1_1.2"	0.403769349006667	0.144620512857534	0.0895902902233325	0.0650386718700166	0.0509580031260255	0.0417419528536957	0.035186980658666	0.0302446524846278	0.0263487137267197	0.0231629640662098	0.0204707982940368	0.0181197460038364	0.0159877564490965	0.0139518347298285	0.0118235836914508	0.00898418995825617
"0.1_1.4"	0.425945517308737	0.150544738490953	0.0919387601683382	0.0657256501693557	0.0506460125130007	0.0407397418003065	0.0336629175196014	0.0282995075807228	0.02404613871656	0.0205440476457462	0.0175616353665927	0.0149355821035947	0.0125354063732517	0.0102318412248587	0.00783718698196389	0.00480531603641648
"0.1_1.6"	0.445666477687005	0.155430583658643	0.0935775249111691	0.0658769266152927	0.0499244543249762	0.0394365571076074	0.0319416035923527	0.0262630022361479	0.0217653917935445	0.0180722866192697	0.0149427435860122	0.0122103303381062	0.00974820207156693	0.00744237370215063	0.00515236354733014	0.00254917820882531
"0.1_1.8"	0.463450978589381	0.159494346266877	0.0946634621893584	0.0656250560236359	0.0489124384372287	0.0379417740002303	0.0301230953883824	0.0242241072908844	0.0195805798686947	0.0158007650948579	0.0126366993052294	0.009921345922335	0.00753439782262504	0.00538030719915394	0.00336659371489021	0.00134405288623546
"0.1_10"	0.766991094578269	0.152878349799574	0.050543544475623	0.0186594837116881	0.0070275522288526	0.00258893495054928	0.000906143569840744	0.000293310018710949	8.51699281910003e-05	2.1329606369539e-05	4.35520425641411e-06	6.64018526851473e-07	6.48892608673173e-08	2.99065245792748e-09	2.96334740555278e-11	1.7910933225888e-15
"0.1_100"	0.999503048378609	0.000496684649055041	2.66874585331056e-07	9.77301353782511e-11	2.05242113590132e-14	2.13440584072825e-18	9.31669002040464e-23	1.3855739357783e-27	5.3043382778553e-33	3.51565083196957e-39	2.22979430624731e-46	5.24057099010083e-55	8.62485532516864e-66	3.43996398526429e-80	5.92167764437565e-102	4.24774483500543e-148
"0.1_12"	0.801606356990185	0.139851334946632	0.0400872694327036	0.0126909951514533	0.00404665739979403	0.00124319717757641	0.000356334856637217	9.23833027589177e-05	2.08982230230614e-05	3.93428148972686e-06	5.75803208804027e-07	5.88632807383069e-08	3.48855481672488e-09	8.24051635641427e-11	2.97068868354721e-13	2.101417281181e-18
"0.1_14"	0.83010841937576	0.126762291456282	0.0315028677843007	0.00855252925031552	0.00230882825130686	0.000591509504505231	0.000138842503547825	2.88312124453596e-05	5.08083712442576e-06	7.19036361777549e-07	7.54297152883296e-08	5.17025026632375e-09	1.85832260927349e-10	2.24980946507033e-12	2.95076450038035e-15	2.4429198528629e-21
"0.1_150"	0.999982215549654	1.77841807169166e-05	2.69627450358122e-10	2.11771372454041e-15	6.92648247724113e-21	7.68575079526015e-27	2.27369063231413e-33	1.31592685707728e-40	9.79818307030963e-49	5.17616162817008e-58	7.95867913251398e-69	8.54914446868314e-82	5.23006757149684e-98	1.15399317937205e-119	2.09048216435176e-152	7.65504784346733e-222
"0.1_16"	0.853897873058713	0.114132937007026	0.0245918472699838	0.00572520319752834	0.00130853175166226	0.000279563768580776	5.37383109607753e-05	8.93778235750946e-06	1.22703975423308e-06	1.30537028989404e-07	9.81540678839807e-09	4.51103414636399e-10	9.83318289361561e-12	6.10147028220364e-14	2.91145046238302e-17	2.82100324292939e-24
"0.1_18"	0.87394860130852	0.102244687511046	0.0191003384203595	0.00381325711196148	0.000737880017666737	0.000131464620438994	2.06944760310804e-05	2.75680146289635e-06	2.94843013019503e-07	2.35790032029011e-08	1.27081690862352e-09	3.91606155913660e-11	5.17697383390313e-13	1.64638768125014e-15	2.85820323866495e-19	3.24120722769049e-27
"0.1_2"	0.479680580100395	0.16289531941678	0.0953120283557298	0.0650669638846106	0.0476957628791048	0.0363321225386194	0.0282746329761516	0.0222385102057797	0.0175323086100394	0.0137498393888479	0.0106363215081611	0.00802358150569093	0.00579598255661293	0.00387130306055728	0.00218942168577071	0.000705321327149203
"0.1_2.5"	0.515125904213417	0.169202707763993	0.0955325681447653	0.0627593015802405	0.0441287305357023	0.0321228474454474	0.0237810401098966	0.0176946054051472	0.0131057965542931	0.00957054827223444	0.00681202746542811	0.00464999923110153	0.00296424295603922	0.00167522380726715	0.00073581155628428	0.000138644958742398
"0.1_20"	0.890971644412512	0.0912364842907886	0.0147770928618241	0.00252987640040791	0.000414462521486462	6.15793256470581e-05	7.93821557637352e-06	8.46991861301416e-07	7.05701562417517e-08	4.24243493167899e-09	1.63891223435408e-10	3.38626496169989e-12	2.71491260578615e-14	4.42514745256023e-17	2.79495512921343e-21	3.70943737197459e-30
